Data Atualização,Nome da Forma de Abastecimento,Código da SAC ou SAA com captação subterrânea,Municípios Rio Grande do Sul,Coordenadoria Regional de Saúde (CRS),Municípios RS (Cópia),População estimada Abastecida,Data da Inspeção,Tipo de Abastecimento,Possui Responsável Técnico?,Nome Completo do Responsável Técnico,A Forma de Abastecimento Possui Tratamento?,Análises de Vigilância - Cloro Livre Residual menor que 0,2mg/L,Nome Completo,Cargo/Função,Órgão/Instituição (CRS ou Município),Equipe de Inspeção,Data de Entrega do Relatório de Inspeção,Incluir Relatório em PDF
2017-06-01 12:37:27,SAC,,São Valentim,11,,40,01/06/2017,SAC,NÃO,,NÃO,SIM,EVANDRO MENEGHETTI,FISCAL TRIBUTÁRIO, SANITÁRIO E DE MEIO AMBIENTE,PREFEITURA MUNICIPAL DE SÃO VALENTIM/SECRETARIA MUNICIPAL DE SAÚDE/DEPARTAMENTO DE VIGILANCIA SANITÁRIA,,,5816796_448114.pdf
2017-06-06 13:57:37,Muliterno 2244659,,Muliterno,6,,1899,06/06/2017,SAC,SIM,samuel fornari,SIM,NÃO,Ailton Cezar de Oliveira,fiscal sanitario e ambiental ,secretaria municipal de saude muliterno ,,,
2017-06-07 09:27:28,SAC NOVA VENEZA,,Severiano de Almeida,11,,79,31/05/2017,SAC,SIM,Vera L. P. Dal Pupo,SIM,NÃO,Alan Junior Solivo,Fiscal Sanitário,Secretaria Municipal de Saúde,,06/06/2017,5835571_448114.pdf
2017-06-07 13:53:41,CRUZALTENSE SEDE,,Cruzaltense,11,,315,30/05/2017,SAC,SIM,JEAN CARLOS MERG,SIM,SIM,VAGNER SANDRI,FISCAL AMBIENTA/SANITÁRIO/ URBANISMO,SECRETARIA MUNICIPAL DE SAUDE,,07/06/2017,5837736_448114.pdf
2017-06-09 11:01:30,SAC LINHA VOLTA GRANDE,,Barão de Cotegipe,11,,109,31/05/2017,SAC,SIM,VERA LÚCIO PIZZI DAL PUPO,SIM,NÃO,Silvana Trierveiler,COORDENADORA VISA,SECRETARIA  MUNICIPAL DE SAÚDE,,09/06/2017,5846931_448114.docx
2017-06-12 09:45:22,Souza Ramos,,Getúlio Vargas,11,,206,01/06/2017,SAC,NÃO,,NÃO,SIM,Jean P Soccol,Coordenador Vigilancia Sanitária,Secretaria Municipal de Saúde,,,5851317_448114.pdf
2017-06-12 11:21:38,SAC SÃO PEDRO 1,,Marcelino Ramos,11,,27,06/03/2017,SAC,NÃO,,NÃO,,RENATO DA CONCEICAO,FISCAL SANITÁRIO E DE MEIO AMBIENTE,SECRETARIA DA SAÚDE,,12/06/2017,5852252_448114.pdf
2017-06-14 08:24:44,SAC- LINHA DALBOSCO/ INTERIOR,,Entre Rios do Sul,11,,116,01/06/2017,SAC,SIM,ALVARO LUIZ MALVESTI,SIM,SIM,ISAIAS CASSIANO SECCO,FISCAL SANITÁRIO,SECRETARIA MUNICIPAL DE SAÚDE,,14/06/2017,5861043_448114.pdf
2017-06-19 09:55:29,COMPANHIA RIOGRANDENSE DE SANEAMENTO,,Jaguari,4,,8000 ,16/02/2017,SAA,SIM,JARGER DA ROSA SILVA,SIM,NÃO,ELISANGELA BOLZAN,FISCAL AMBIENTAL E SANITARIA,PREFEITURA DE JAGUARI RS ,,,
2017-06-20 14:31:09,Comunidade de linha tansini,,Floriano Peixoto,11,,150,31/05/2017,SAC,SIM,Alvaro Luis Malvesti,SIM,SIM,Vanusa Zorzeto,Fiscal Sanitário e De Meio Ambiente,Prefeitura Municipal,,20/06/2017,5881049_448114.pdf
2017-06-21 08:49:42,SAC TOPE DA SERRA,,Faxinalzinho,11,,60 ,01/06/2017,SAC,SIM,Vera Lucia P. Dal Pupo,SIM,SIM,SABRIELI DE LIMA CAERAN,VIGILÂNCIA SANITÁRIA,UNIDADE BÁSICA DE SAÚDE,,02/06/2017,5883842_448114.pdf
2017-06-21 10:28:28,SAA CORSAN PEJ 02,,Pejuçara,17,,3.151,19/06/2017,SAA,SIM,PLUTARCO ARISTIDES GERMANO SOARES MARQUES,SIM,NÃO,FRANCIS BISOGNIN,FISCAL SANITÁRIO E AMBIENTAL,PREFEITURA MUNICIPAL DE PEJUÇARA,,21/06/2017,5885032_448114.pdf
