IBGE6;Município;População_estimada;CRS;Macro;Região_saude;lat;lon
431395;Pantano Grande;10255;13;Vales;Região 28 - Vale do Rio Pardo;-30.195;-52.374
431400;Paraí;7205;5;Serra;Região 25 - Vinhedos e Basalto;-28.6;-51.782
431402;Paraíso do Sul;6472;4;Centro-Oeste;Região 01 - Verdes Campos;-29.731;-53.179
431403;Pareci Novo;4072;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.639;-51.399
431405;Parobé;54095;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.632;-50.835
431406;Passa Sete;3943;8;Vales;Região 27 - Jacuí Centro;-29.452;-52.964
431407;Passo do Sobrado;6006;13;Vales;Região 28 - Vale do Rio Pardo;-29.746;-52.279
431410;Passo Fundo;217240;6;Norte;Região 17 - Planalto;-28.262;-52.407
431413;Paulo Bento;2144;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.704;-52.422
431415;Paverama;7933;16;Vales;Região 30 - Vale da Luz;-29.555;-51.73
431417;Pedras Altas;2213;3;Sul;Região 21 - Sul;-31.734;-53.587
431420;Pedro Osório;7652;3;Sul;Região 21 - Sul;-31.864;-52.826
431430;Pejuçara;3733;17;Missioneira;Região 13 - Diversidade;-28.422;-53.657
431440;Pelotas;324026;3;Sul;Região 21 - Sul;-31.72;-52.344
431442;Picada Café;5732;5;Serra;Região 23 - Caxias e Hortênsias;-29.454;-51.064
431445;Pinhal;2895;2;Norte;Região 15 - Caminho das Águas;-27.512;-53.215
431446;Pinhal da Serra;2243;5;Serra;Região 24 - Campos de Cima da Serra;-27.877;-51.17
431447;Pinhal Grande;4049;4;Centro-Oeste;Região 01 - Verdes Campos;-29.335;-53.339
431449;Pinheirinho do Vale;4539;2;Norte;Região 15 - Caminho das Águas;-27.21;-53.62
431450;Pinheiro Machado;11380;3;Sul;Região 21 - Sul;-31.581;-53.385
431454;Pinto Bandeira;2712;5;Serra;Região 25 - Vinhedos e Basalto;-290.978;-514.503
431455;Pirapó;2250;12;Missioneira;Região 11 - Sete Povos das Missões;-28.045;-55.2
431460;Piratini;17434;3;Sul;Região 21 - Sul;-31.444;-53.105
431470;Planalto;10240;2;Norte;Região 15 - Caminho das Águas;-27.332;-53.059
431475;Poço das Antas;2152;16;Vales;Região 30 - Vale da Luz;-29.455;-51.671
431477;Pontão;3278;6;Norte;Região 17 - Planalto;-28.062;-52.675
431478;Ponte Preta;1572;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.657;-52.49
431480;Portão;36410;1;Metropolitana;Região 07 - Vale dos Sinos;-29.696;-51.23
431490;Porto Alegre;1404269;1;Metropolitana;Região 10 - Capital e Vale do Gravataí;-30.03;-51.229
431500;Porto Lucena;4364;14;Missioneira;Região 14 - Fronteira Noroeste;-27.851;-55.012
431505;Porto Mauá;2143;14;Missioneira;Região 14 - Fronteira Noroeste;-27.579;-54.672
431507;Porto Vera Cruz;1560;14;Missioneira;Região 14 - Fronteira Noroeste;-27.734;-54.899
431510;Porto Xavier;9821;12;Missioneira;Região 11 - Sete Povos das Missões;-27.906;-55.14
431513;Pouso Novo;1752;16;Vales;Região 29 - Vales e Montanhas;-29.17;-52.211
431514;Presidente Lucena;3077;1;Metropolitana;Região 07 - Vale dos Sinos;-29.526;-51.182
431515;Progresso;5325;16;Vales;Região 29 - Vales e Montanhas;-29.24;-52.302
431517;Protásio Alves;2025;5;Serra;Região 25 - Vinhedos e Basalto;-28.757;-51.474
431520;Putinga;3710;16;Vales;Região 29 - Vales e Montanhas;-28.999;-52.16
431530;Quaraí;23475;10;Centro-Oeste;Região 03 - Fronteira Oeste;-30.383;-56.454
431531;Quatro Irmãos;1552;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.821;-52.443
431532;Quevedos;2502;4;Centro-Oeste;Região 01 - Verdes Campos;-29.352;-54.071
431535;Quinze de Novembro;3910;9;Missioneira;Região 12 - Portal das Missões;-28.742;-53.097
431540;Redentora;9244;15;Norte;Região 20 - Rota da Produção;-27.662;-53.642
431545;Relvado;1895;16;Vales;Região 29 - Vales e Montanhas;-29.112;-52.073
431550;Restinga Seca;15129;4;Centro-Oeste;Região 01 - Verdes Campos;-29.814;-53.371
431555;Rio dos Índios;3374;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.298;-52.84
431560;Rio Grande;191719;3;Sul;Região 21 - Sul;-32.05;-52.087
431570;Rio Pardo;34447;13;Vales;Região 28 - Vale do Rio Pardo;-29.986;-52.379
431575;Riozinho;4453;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.642;-50.474
431580;Roca Sales;10397;16;Vales;Região 29 - Vales e Montanhas;-29.285;-51.864
431590;Rodeio Bonito;6644;2;Norte;Região 15 - Caminho das Águas;-27.47;-53.169
431595;Rolador;2277;12;Missioneira;Região 11 - Sete Povos das Missões;-28.256;-54.819
431600;Rolante;21288;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.641;-50.573
431610;Ronda Alta;9750;15;Norte;Região 20 - Rota da Produção;-27.782;-52.807
431620;Rondinha;4989;15;Norte;Região 20 - Rota da Produção;-27.832;-52.906
431630;Roque Gonzales;6579;12;Missioneira;Região 11 - Sete Povos das Missões;-28.135;-55.029
431640;Rosário do Sul;36343;10;Centro-Oeste;Região 03 - Fronteira Oeste;-30.244;-54.946
431642;Sagrada Família;2466;15;Norte;Região 20 - Rota da Produção;-27.707;-53.136
431643;Saldanha Marinho;2581;9;Missioneira;Região 12 - Portal das Missões;-28.403;-53.094
431645;Salto do Jacuí;10200;9;Missioneira;Região 12 - Portal das Missões;-29.089;-53.213
431647;Salvador das Missões;2878;12;Missioneira;Região 11 - Sete Povos das Missões;-28.122;-54.838
431650;Salvador do Sul;7411;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.44;-51.509
431660;Sananduva;17130;6;Norte;Região 18 - Araucárias;-27.944;-51.814
431710;Sant'Ana do Livramento;83764;10;Centro-Oeste;Região 03 - Fronteira Oeste;-30.889;-55.535
431670;Santa Bárbara do Sul;8083;9;Missioneira;Região 12 - Portal das Missões;-28.365;-53.251
431673;Santa Cecília do Sul;1676;6;Norte;Região 18 - Araucárias;-28.165;-51.927
431675;Santa Clara do Sul;6845;16;Vales;Região 29 - Vales e Montanhas;-29.464;-52.081
431680;Santa Cruz do Sul;133136;13;Vales;Região 28 - Vale do Rio Pardo;-29.72;-52.43
431697;Santa Margarida do Sul;2593;10;Centro-Oeste;Região 03 - Fronteira Oeste;-30.345;-54.091
431690;Santa Maria;296081;4;Centro-Oeste;Região 01 - Verdes Campos;-29.686;-53.809
431695;Santa Maria do Herval;6541;1;Metropolitana;Região 07 - Vale dos Sinos;-29.504;-50.987
431720;Santa Rosa;77519;14;Missioneira;Região 14 - Fronteira Noroeste;-27.867;-54.478
431725;Santa Tereza;1668;5;Serra;Região 25 - Vinhedos e Basalto;-29.172;-51.734
431730;Santa Vitória do Palmar;30953;3;Sul;Região 21 - Sul;-33.52;-53.367
431700;Santana da Boa Vista;7120;3;Sul;Região 21 - Sul;-30.875;-53.116
431740;Santiago;48959;4;Centro-Oeste;Região 02 - Entre Rios;-29.192;-54.869
431750;Santo Ângelo;76768;12;Missioneira;Região 11 - Sete Povos das Missões;-28.302;-54.264
431760;Santo Antônio da Patrulha;42904;18;Metropolitana;Região 05 - Bons Ventos;-29.832;-50.521
431770;Santo Antônio das Missões;10292;12;Missioneira;Região 11 - Sete Povos das Missões;-28.508;-55.225
431755;Santo Antônio do Palma;2091;6;Norte;Região 17 - Planalto;-28.497;-52.025
431775;Santo Antônio do Planalto;2097;6;Norte;Região 17 - Planalto;-28.396;-52.684
431780;Santo Augusto;13641;17;Missioneira;Região 13 - Diversidade;-27.854;-53.779
431790;Santo Cristo;15325;14;Missioneira;Região 14 - Fronteira Noroeste;-27.82;-54.669
431795;Santo Expedito do Sul;2348;6;Norte;Região 18 - Araucárias;-27.909;-51.644
431800;São Borja;58757;12;Missioneira;Região 11 - Sete Povos das Missões;-28.663;-56.001
431805;São Domingos do Sul;2755;6;Norte;Região 17 - Planalto;-28.532;-51.893
431810;São Francisco de Assis;17634;4;Centro-Oeste;Região 02 - Entre Rios;-29.553;-55.132
431820;São Francisco de Paula;23682;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.444;-50.582
431830;São Gabriel;58263;10;Centro-Oeste;Região 03 - Fronteira Oeste;-30.337;-54.321
431840;São Jerônimo;20909;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-29.959;-51.728
431842;São João da Urtiga;4433;6;Norte;Região 18 - Araucárias;-27.827;-51.826
431843;São João do Polêsine;2549;4;Centro-Oeste;Região 01 - Verdes Campos;-29.615;-53.446
431844;São Jorge;2912;5;Serra;Região 25 - Vinhedos e Basalto;-28.498;-51.703
431845;São José das Missões;2345;15;Norte;Região 20 - Rota da Produção;-27.778;-53.119
431846;São José do Herval;1883;16;Vales;Região 29 - Vales e Montanhas;-29.041;-52.293
431848;São José do Hortêncio;4667;1;Metropolitana;Região 07 - Vale dos Sinos;-29.54;-51.25
431849;São José do Inhacorá;2596;14;Missioneira;Região 14 - Fronteira Noroeste;-27.723;-54.134
431850;São José do Norte;25491;3;Sul;Região 21 - Sul;-32.021;-52.034
431860;São José do Ouro;6847;6;Norte;Região 18 - Araucárias;-27.771;-51.595
431861;São José do Sul;2676;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.544;-51.486
431862;São José dos Ausentes;3128;5;Serra;Região 24 - Campos de Cima da Serra;-28.75;-50.064
431870;São Leopoldo;216964;1;Metropolitana;Região 07 - Vale dos Sinos;-29.766;-51.146
431880;São Lourenço do Sul;41756;3;Sul;Região 21 - Sul;-31.364;-51.977
431890;São Luiz Gonzaga;34690;12;Missioneira;Região 11 - Sete Povos das Missões;-28.407;-54.96
431900;São Marcos;21027;5;Serra;Região 26 - Uva Vale;-28.97;-51.067
431910;São Martinho;5479;17;Missioneira;Região 13 - Diversidade;-27.709;-53.967
431912;São Martinho da Serra;2919;4;Centro-Oeste;Região 01 - Verdes Campos;-29.535;-53.854
431915;São Miguel das Missões;6986;12;Missioneira;Região 11 - Sete Povos das Missões;-28.55;-54.562
431920;São Nicolau;5114;12;Missioneira;Região 11 - Sete Povos das Missões;-28.182;-55.26
431930;São Paulo das Missões;5837;14;Missioneira;Região 14 - Fronteira Noroeste;-28.021;-54.935
431935;São Pedro da Serra;3818;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.421;-51.514
431936;São Pedro das Missões;1753;15;Norte;Região 20 - Rota da Produção;-27.771;-53.247
431937;São Pedro do Butiá;3069;12;Missioneira;Região 11 - Sete Povos das Missões;-28.124;-54.888
431940;São Pedro do Sul;15535;4;Centro-Oeste;Região 01 - Verdes Campos;-29.618;-54.18
431950;São Sebastião do Caí;26300;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.592;-51.377
431960;São Sepé;21189;4;Centro-Oeste;Região 01 - Verdes Campos;-30.167;-53.57
431970;São Valentim;3262;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.554;-52.529
431971;São Valentim do Sul;2029;16;Vales;Região 29 - Vales e Montanhas;-29.051;-51.77
431973;São Valério do Sul;2547;17;Missioneira;Região 13 - Diversidade;-27.788;-53.936
431975;São Vendelino;2259;5;Serra;Região 26 - Uva Vale;-29.376;-51.369
431980;São Vicente do Sul;8154;4;Centro-Oeste;Região 02 - Entre Rios;-29.692;-54.676
431990;Sapiranga;75613;1;Metropolitana;Região 07 - Vale dos Sinos;-29.639;-51.004
432000;Sapucaia do Sul;130554;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.825;-51.152
432010;Sarandi;22693;15;Norte;Região 20 - Rota da Produção;-27.944;-52.926
432020;Seberi;11932;2;Norte;Região 15 - Caminho das Águas;-27.48;-53.406
432023;Sede Nova;2712;17;Missioneira;Região 13 - Diversidade;-27.631;-53.956
432026;Segredo;6046;8;Vales;Região 27 - Jacuí Centro;-29.343;-52.982
432030;Selbach;5108;9;Missioneira;Região 12 - Portal das Missões;-28.627;-52.957
432032;Senador Salgado Filho;2671;14;Missioneira;Região 14 - Fronteira Noroeste;-28.028;-54.545
432035;Sentinela do Sul;5221;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-30.613;-51.578
432040;Serafina Corrêa;16839;6;Norte;Região 17 - Planalto;-28.711;-51.936
432045;Sério;1941;16;Vales;Região 29 - Vales e Montanhas;-29.387;-52.268
432050;Sertão;6512;6;Norte;Região 17 - Planalto;-27.981;-52.26
432055;Sertão Santana;6062;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-30.465;-51.604
432057;Sete de Setembro;1824;12;Missioneira;Região 11 - Sete Povos das Missões;-28.13;-54.464
432060;Severiano de Almeida;3827;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.433;-52.121
432065;Silveira Martins;2070;4;Centro-Oeste;Região 01 - Verdes Campos;-29.645;-53.585
432067;Sinimbu;8578;13;Vales;Região 28 - Vale do Rio Pardo;-29.529;-52.522
432070;Sobradinho;14209;8;Vales;Região 27 - Jacuí Centro;-29.415;-53.025
432080;Soledade;30060;6;Norte;Região 19 - Botucaraí;-28.828;-52.51
432085;Tabaí;4552;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.688;-51.728
432090;Tapejara;24539;6;Norte;Região 18 - Araucárias;-28.084;-52.022
432100;Tapera;10570;6;Norte;Região 19 - Botucaraí;-28.625;-52.872
432110;Tapes;14547;1;Metropolitana;Região 09 - Carbonífera/Costa Doce;-30.673;-51.395
432120;Taquara;53164;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.651;-50.781
432130;Taquari;25004;16;Vales;Região 30 - Vale da Luz;-29.803;-51.863
432132;Taquaruçu do Sul;3087;2;Norte;Região 15 - Caminho das Águas;-27.398;-53.467
432135;Tavares;5554;18;Metropolitana;Região 05 - Bons Ventos;-31.289;-51.089
432140;Tenente Portela;14494;2;Norte;Região 15 - Caminho das Águas;-27.372;-53.757
432143;Terra de Areia;11122;18;Metropolitana;Região 04 - Belas Praias;-29.578;-50.067
432145;Teutônia;32776;16;Vales;Região 30 - Vale da Luz;-29.489;-51.813
432146;Tio Hugo;3422;6;Norte;Região 19 - Botucaraí;-28.581;-52.593
432147;Tiradentes do Sul;5132;2;Norte;Região 15 - Caminho das Águas;-27.397;-54.085
432149;Toropi;2546;4;Centro-Oeste;Região 01 - Verdes Campos;-29.472;-54.228
432150;Torres;41709;18;Metropolitana;Região 04 - Belas Praias;-29.336;-49.73
432160;Tramandaí;51872;18;Metropolitana;Região 05 - Bons Ventos;-29.987;-50.13
432162;Travesseiro;2123;16;Vales;Região 29 - Vales e Montanhas;-29.299;-52.058
432163;Três Arroios;2589;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.5;-52.15
432166;Três Cachoeiras;11551;18;Metropolitana;Região 04 - Belas Praias;-29.446;-49.916
432170;Três Coroas;25344;1;Metropolitana;Região 06 - Vale do Paranhana e Costa Serra;-29.517;-50.783
432180;Três de Maio;25006;14;Missioneira;Região 14 - Fronteira Noroeste;-27.78;-54.235
432183;Três Forquilhas;3139;18;Metropolitana;Região 04 - Belas Praias;-29.538;-50.064
432185;Três Palmeiras;4707;15;Norte;Região 20 - Rota da Produção;-27.618;-52.844
432190;Três Passos;25467;2;Norte;Região 15 - Caminho das Águas;-27.456;-53.93
432195;Trindade do Sul;7065;15;Norte;Região 20 - Rota da Produção;-27.518;-52.892
432200;Triunfo;32859;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.945;-51.715
432210;Tucunduva;5512;14;Missioneira;Região 14 - Fronteira Noroeste;-27.65;-54.433
432215;Tunas;3685;6;Norte;Região 19 - Botucaraí;-29.106;-52.957
432218;Tupanci do Sul;1371;6;Norte;Região 18 - Araucárias;-27.926;-51.541
432220;Tupanciretã;19997;4;Centro-Oeste;Região 01 - Verdes Campos;-29.078;-53.841
432225;Tupandi;4981;1;Metropolitana;Região 08 - Vale do Caí e Metropolitana;-29.488;-51.42
432230;Tuparendi;8342;14;Missioneira;Região 14 - Fronteira Noroeste;-27.754;-54.479
432232;Turuçu;3410;3;Sul;Região 21 - Sul;-31.412;-52.171
432234;Ubiretama;1994;12;Missioneira;Região 11 - Sete Povos das Missões;-28.044;-54.685
432235;União da Serra;1171;5;Serra;Região 25 - Vinhedos e Basalto;-28.78;-52
432237;Unistalda;2180;4;Centro-Oeste;Região 02 - Entre Rios;-29.048;-55.151
432240;Uruguaiana;115100;10;Centro-Oeste;Região 03 - Fronteira Oeste;-29.76;-57.082
432250;Vacaria;64033;5;Serra;Região 24 - Campos de Cima da Serra;-28.502;-50.937
432253;Vale do Sol;9907;13;Vales;Região 28 - Vale do Rio Pardo;-29.609;-52.681
432254;Vale Real;6152;5;Serra;Região 26 - Uva Vale;-29.392;-51.251
432252;Vale Verde;3137;13;Vales;Região 28 - Vale do Rio Pardo;-29.783;-52.18
432255;Vanini;2004;6;Norte;Região 17 - Planalto;-28.476;-51.845
432260;Venâncio Aires;68420;13;Vales;Região 28 - Vale do Rio Pardo;-29.612;-52.192
432270;Vera Cruz;26702;13;Vales;Região 28 - Vale do Rio Pardo;-29.72;-52.501
432280;Veranópolis;23878;5;Serra;Região 25 - Vinhedos e Basalto;-28.934;-51.552
432285;Vespasiano Correa;1821;16;Vales;Região 29 - Vales e Montanhas;-29.07;-51.86
432290;Viadutos;4767;11;Norte;Região 16 - Alto Uruguai Gaúcho;-27.571;-52.024
432300;Viamão;223679;1;Metropolitana;Região 10 - Capital e Vale do Gravataí;-30.082;-51.025
432310;Vicente Dutra;4660;2;Norte;Região 15 - Caminho das Águas;-27.168;-53.402
432320;Victor Graeff;2685;6;Norte;Região 17 - Planalto;-28.56;-52.748
432330;Vila Flores;3608;5;Serra;Região 25 - Vinhedos e Basalto;-28.863;-51.55
432335;Vila Lângaro;2118;6;Norte;Região 18 - Araucárias;-28.107;-52.147
432340;Vila Maria;4425;6;Norte;Região 17 - Planalto;-28.533;-52.164
432345;Vila Nova do Sul;3629;4;Centro-Oeste;Região 01 - Verdes Campos;-30.334;-53.879
432350;Vista Alegre;2655;2;Norte;Região 15 - Caminho das Águas;-27.37;-53.492
432360;Vista Alegre do Prata;1608;5;Serra;Região 25 - Vinhedos e Basalto;-28.81;-51.786
432370;Vista Gaúcha;2785;2;Norte;Região 15 - Caminho das Águas;-27.29;-53.701
432375;Vitória das Missões;3266;12;Missioneira;Região 11 - Sete Povos das Missões;-28.352;-54.499
432377;Westfalia;3096;16;Vales;Região 30 - Vale da Luz;-29.423;-51.766
432380;Xangri-lá;16178;18;Metropolitana;Região 04 - Belas Praias;-29.805;-50.039
